00077,乫,갈,땅이름 갈,,,6,6,12,목화,목,종파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00078,喝,갈,꾸짖을 갈,,좋지않은 의미 문자,12,12,17,목화,수,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00079,曷,갈,어찌 갈,,,9,9,13,목화,화,종파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00080,碣,갈,비석 갈,,좋지않은 의미 문자,14,14,19,목화,금,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00081,竭,갈,다할 갈,,,14,14,18,목화,토,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00082,褐,갈,갈색 갈,,,15,14,19,목화,목,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00083,蝎,갈,전갈 갈,,좋지않은 의미 문자,15,15,20,목화,목,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00084,鞨,갈,말갈 갈,,,18,18,23,목화,금,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00085,甘,감,달 감,,,5,5,5,목수,토,분파무 성(姓)씨 사용,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00086,感,감,감동할 감,,,13,13,17,목수,화,종파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00087,敢,감,구태여 감,,,12,12,12,목수,금,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00088,監,감,볼 감,,,14,14,17,목수,금,종파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00089,鑑,감,거울 감,,,22,22,25,목수,금,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00090,鑒,감,거울 감,,,22,22,25,목수,금,종파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00091,勘,감,마감할 감,,,11,11,15,목수,토,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00092,減,감,감할 감,,,13,12,14,목수,수,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00093,堪,감,견딜 감,,,12,12,14,목수,토,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00094,瞰,감,굽어볼 감,,,17,17,18,목수,목,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00095,坎,감,구덩이 감,,좋지않은 의미 문자,7,7,8,목수,토,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00096,嵌,감,산골짜기 감,,,12,12,14,목수,토,종파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00097,憾,감,섭섭할 감,,좋지않은 의미 문자,17,16,20,목수,화,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00098,戡,감,이길 감,,,13,13,16,목수,금,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00099,柑,감,귤 감,,,9,9,9,목수,목,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00100,橄,감,감람나무 감,,,16,16,16,목수,목,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00101,疳,감,감질(질병의 종류) 감,,좋지않은 의미 문자,10,10,10,목수,수,분파무 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00102,紺,감,감색 감,,,11,11,13,목수,목,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00103,邯,감,땅이름 감,,,12,8,10,목수,토,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00104,龕,감,감실 감,,,22,22,29,목수,토,종파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00105,玪,감,옥 이름 감,,,9,8,9,목수,금,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00106,甲,갑,갑옷 갑,,불용문자,5,5,6,목수,목,분파무 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00107,鉀,갑,갑옷 갑,,,13,13,14,목수,금,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00108,匣,갑,갑(작은상자) 갑,,,7,7,9,목수,목,분파무 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00109,岬,갑,곶 갑,,,8,8,10,목수,토,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00110,胛,갑,어깨뼈 갑,,,11,9,12,목수,수,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00111,閘,갑,수문 갑,,,13,13,17,목수,목,분파무 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00112,江,강,물 강,,불용문자,7,6,6,목토,수,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00113,降,강,내릴 강,,,14,9,13,목토,토,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00114,講,강,익힐 강,,,17,17,20,목토,금,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00115,強,강,강할 강,,,11,11,17,목토,금,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00116,强,강,강할 강,,,12,12,18,목토,금,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
