00056,侃,간,강직할 간,마음이 곧은 강직하다,,8,8,11,목화,화,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,亻(사람인변)   person 원문자:人  ,2,2,2,화
00057,杆,간,줄기 간,산뽕나무 쓰러진 나무 방패,,7,7,7,목화,목,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,木(나무목)   tree  wood ,4,4,4,목
00058,玕,간,옥돌 간,아름다운 돌,,8,7,7,목화,금,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,王(구슬옥변)   gem 원문자:玉  ,5,4,4,금
00059,桿,간,난간 간,난간 방패 쓰러진 나무,,11,11,12,목화,목,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,木(나무목)   tree  wood ,4,4,4,목
00060,竿,간,대 간,대나무 장대 횃대,,9,9,9,목화,목,종파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,竹(대나무죽)   bamboo ,6,6,7,목
00061,揀,간,가릴 간,가리다 가려뽑다 구별하다 분별하다,,13,12,14,목화,목,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,扌(재방변)   hand 원문자:手  ,4,3,4,목
00062,諫,간,간할(말씀드릴) 간,간하다,,16,16,18,목화,금,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,言(말씀언)   word  speech ,7,7,8,금
00063,墾,간,개간할 간,개간하다 깨지다 부서지다,,16,16,19,목화,토,종파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,土(흙토)   earth  soil ,3,3,3,토
00064,栞,간,표할 간,나무를 쪼개다 나무로 표하다,,10,10,10,목화,목,종파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,木(나무목)   tree  wood ,4,4,4,목
00065,奸,간,간사할 간,침범하다 간음하다 간악하다 ,좋지않은 의미 문자,6,6,7,목화,토,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,女(계집녀변)   woman  lady ,3,3,4,토
00066,柬,간,분간할 간,가리다 분간하다,,9,9,10,목화,목,분파무 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,木(나무목)   tree  wood ,4,4,4,목
00067,澗,간,산골물 간,산골 물,,16,15,19,목화,수,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,氵(물수)   water 원문자:水  ,4,3,3,수
00068,磵,간,산골짜기물 간,산골짜기 물 산골짜기 강의 이름,,17,17,22,목화,수,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,石(돌석)   rock  stone ,5,5,6,금
00069,稈,간,볏짚 간,벼 등의 줄기 짚,,12,12,13,목화,목,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,禾(벼화)   rice plant ,5,5,5,목
00070,艱,간,어려울 간,어렵다 괴롭다 어렵게 여기다 괴로워하다 ,좋지않은 의미 문자,17,17,20,목화,토,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,艮(간방간)   stop  stay ,6,6,8,토
00071,癇,간,간질 간,,좋지않은 의미 문자,17,17,22,목화,수,분파무 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,疒(병들어기댈역)   sick ,5,5,5,수
00072,癎,간,간질 간,경풍 ,좋지않은 의미 문자,17,17,21,목화,수,분파무 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,疒(병들어기댈역)   sick ,5,5,5,수
00073,忓,간,방해할 간,방해하다 어지럽히다 ,좋지않은 의미 문자,7,6,6,목화,화,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,忄(심방변)   heart  mind 원문자:心  ,4,3,3,화
00074,矸,간,산돌 간,산돌 흰돌,,8,8,9,목화,금,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,石(돌석)   rock  stone ,5,5,6,금
00075,渴,갈,목마를 갈,목이 마르다 갈증 서두르다 ,좋지않은 의미 문자,13,12,16,목화,수,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,氵(물수)   water 원문자:水  ,4,3,3,수
00076,葛,갈,칡 갈,칡 갈포(칡의 섬유로 짠 베) 나라 이름,,15,13,17,목화,목,종파 성(姓)씨 사용,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,艹(풀초)   grass 원문자:艸  ,6,4,4,목
